Document type;Document description
eu.medcard.type1;EU Medcard
fin.drvlic.type1;Finnish Driving License (number-field under the personal photo, front side)
fin.drvlic.type2;Finnish Driving License (number-field in the right side of the photo, front side)
fin.drvlic.type3;Finnish Driving License (Finnish police badge on background, front side)
fin.drvlic.type4;Finnish Driving License (triangles pattern on background, front side)
fin.drvlic.type5;Finnish Driving License (stamp on the background, front side)
fin.id.type1;Finnish ID card (chip on the left side and a personal photo in the bottom-right corner, front side)
fin.id.type2;Finnish ID card (a personal photo on the left side and stamp with photo in the middle, front side)
fin.passport.type1;Finnish Passport (a star in the middle of page near the stamp with a personal photo, main page)
fin.passport.type2;Finnish Passport (rhombus in the top-right corner, main page)
fin.rp.type1;Finnish ID card (biometric symbol in the top-left corner, front side, a bear in the top-left corner, front side)
fin.visa.type1;Finnish Visa (FIN sign in the top-right corner, main page)
fji.drvlic.type1;Driving License of the Republic of Fiji (the contour of Fiji on the background, front side)
fji.passport.type1;Passport of the Republic of Fiji (ships and a personal photo on the background, main page)
fji.tin.type1;Tax Identification Number of the Republic of Fiji (a leaf in the right top corner, front page)
fra.drvlic.type1;French Driving License (the sign of the European Union with letter in the top-left corner, front)
fra.id.type1;CARTE NATIONALE D'IDENTITÉ
fra.passport.type1;French Passport (RF sign in the photo corner, main page)
fra.passport.type2;French Passport (photo in the middle on the background, main page)
fra.passport.type3;French Passport (photo in the middle on the background, main page)
fra.passport.type4;French Passport (REPUBLIQUEFRANÇAISE above the machine- readable zone and RFs at the corners of the facial image, main page)
fra.passport.type5;French Passport (Marianne head in the top-left corner, main page)
fra.rp.type1;France residence permit card - background: France emblem on the right, bull on the left, front
fra.visa.type1;French Visa (FRA sign in the top-right corner, main page)
gab.id.type1;ID Card of Gabonese Republic (a national flag in the top- left corner and a coat of arms in the top-right corner, front
gab.passport.type1;Passport of Gabon (barcode above the mrz zone, main page)
gab.passport.type2;Passport of Gabon (watermark on upper right corner, main page)
gbd.passport.type1;Cayman Islands Passport (lines in the form of semicircles on the background, main page)
gbr.drvlic.provisional.type1;British Provisional Driver License (line of text Provisional on the top, front)
gbr.drvlic.provisional.type2;British Provisional Driver License (rubber stamp on the right, front)
gbr.drvlic.provisional.type3;British Provisional Driver License (round stamp on the left, front)
gbr.drvlic.type1;British Driver License (line of text on the top, front)
gbr.drvlic.type2;British Driver License (British flag on the right, front)
gbr.drvlic.type3;British Driver License (round stamp on the left, front)
gbr.passport.type1;British Passport (bird on the background, main page)
gbr.passport.type2;British Passport (compass in the top-left corner, main page)
gbr.passport.type3;British Passport (Photo of the owner on the background, main page)
gbr.passport.type4;British Passport (circles on the background, main page)
gbr.rp.type1;Residence permit (card-size, bull in the top-left corner)
gbr.visa.type1;British Visa (GBR sign in the top-right corner, main page)
gbr.visa.type2;British Visa (British emblem on the background, main page)
geo.drvlic.type1;Georgian driver license card - a horizontal card, background: flag on top country and outline below, front
geo.drvlic.type2;Georgian driver license card - a horizontal card, flag in the upper left corner, emblem on the background, front
geo.drvlic.type3;Georgian driver license card - a horizontal card, emblem on the background, front
geo.id.type1;Georgian ID card - a horizontal card, country outline in the upper right, dotted lines on the background, front
geo.passport.type1;Georgian passport - country emblem in the upper left, has owner's signature, main
geo.passport.type2;Georgian passport - country emblem in the upper left, has patterns on the corners of the photo, main
geo.passport.type3;Georgian passport - circle with patterns in the center, main
geo.passport.type4;Georgian passport - country emblem in the upper left, has owner's signature, main
geo.vrc.type1;Georgian registration sertificate - a horizontal card, background: flag on top and country outline in center, main
gha.passport.type1;Passport of Ghana (barcode above the mrz zone, main page)
gha.passport.type2;Passport of Ghana (the coat of arms of Ghana on the background, main page)
gib.id.type1;ID card from Gibraltar)
gin.passport.type1;Guinean Passport (Guinean emblem on the background, main page)
gmb.passport.type1;Gambian Passport (photo in the right on the background, main page)
gmb.passport.type2;Gambian Passport (photo in the right on the background, main page)
gnb.passport.type1;Passport of Guinea-Bissau (the coat of arms of Passport of Guinea-Bissau on the background, main page)
gnq.passport.type1;Republica de Guinea Passport (photo on the left, signature on the right)
grc.drvlic.type1;Greek Driving License (the sign of the European Union with letter in the top-left corner, front)
grc.id.type1;Greek ID card (printing technique for the whole document)
grc.id.type2;Greek Police ID card (printing technique for the whole document)
grc.passport.type1;Greek Passport (Greek emblem on the background, main page)
grc.rp.type1;Greek Residence Permit (Greek emblem in the right, front)
grc.visa.type1;Greek Visa (GRC sign in the top-right corner, main page)
grd.drvlic.type1;Grenadian driving license (emblem in right corner)
grd.passport.type1;Passport of Grenada (the coat of arms of Grenada on the background, main page)
gtm.passport.type1;Guatemalan Passports (barcode above the mrz zone, main page)
guy.drvlic.type1;Gayana driving license (emblem in top right and flag in top left)
guy.id.type1;Gayana ID card (country outline on the background)
guy.passport.type1;Passport of Guyana (barcode above the mrz zone and the coat of arms of Gayana on the background, main page)
guy.passport.type2;Passport of Guyana (signature place at right side and the coat of arms of Gayana on the background, main page)
hkg.drvlic.type1;Driving License of Hong Kong (drawing in the form of the letters 'hk' on the background, front side)
hkg.id.type1;ID Card of Hong Kong (stamp with a photo under the chip, front side)
hkg.passport.type1;Passport of Hong Kong (a flower on the background and barcode under the photo, front side)
hkg.passport.type2;Passport of Hong Kong (Tsing Ma bridge on the background, biometric symbol, main page)
hnd.drvlic.type1;Driving License of Honduras (the coat of arms of Honduras in the top-left corner, front side)
hnd.id.type1;ID card of Honduras (fingerprint on the right and barcode on the bottom, front side)
hnd.passport.type1;Passport of Honduras (a humming-bird in the top-right corner and barcode above the mrz zone, main page)
hrv.drvlic.type1;Croatian Driving License (sign of the European Union with letters HR in the top-left corner, front side)
hrv.id.type1;Croatian ID card (stamp with RH on the left and , front side)
hrv.id.type2;Croatian ID card (RH sign in the top-left corner and watermark with the coat of arms of Croatia on the photo, front side)
hrv.passport.type1;Croatian Passport (RH sign on the left, main page)
hrv.passport.type2;Croatian Passport (barcode in the middle of the page)
hrv.rp.type1;Croatian Residence Permit (biometric symbol in the top-left corner and the coat of arms of Croatia on the left, front side)
hrv.visa.type1;Croatian Visa (HRV sign in the top-right corner, main page)
hti.drvlic.type1;Haitian Driving License (a coat of arms of Haiti in the middle, front side)
hti.id.type1;Haitian ID Card(a coat of arms of Haiti in bottom-right corner and a flag in the top-right corner, front side)
hti.passport.type1;Haitian passport (photo on the background, main page)
hun.drvlic.type1;Hungarian Driving License (the sign of the European Union with letter in the top-left corner, front)
hun.id.type1;Hungarian ID Card (Hungarian emblem in the top-left corner, front)
hun.id.type2;Hungarian ID Card (Hungarian emblem in the top-right corner and biometric symbol in the top, front)
hun.passport.type1;Hungarian Passport (stamp in the top-right corner, main page)
hun.passport.type2;Hungarian Passport (stamp in the top-right corner, main page)
hun.rp.type1;Hungarian Residence Permit (stamp on the photo, front)
hun.visa.type1;Hungarian Visa (HUN sign in the top-right corner, main page)
idn.drvlic.type1;Indonesian Driving License (Indonesian national symbol in the top-left corner and fingerprint on the right, front side)
idn.id.type1;Indonesian ID Card (a globe on the background, front side)
idn.passport.type1;Indonesian Passport (Indonesian coat of arms on the background, main page)
idn.passport.type2;Indonesian Passport (Indonesian coat of arms on the background, main page)
ind.aadhaar.type1;Indian aadhaar - square card, flag on the top center, emblem on the top left, front
ind.pancard.type1;
ind.pancard.type2;Indian PAN (emblem on the top center, front)
ind.passport.type1;Indian passport - lines on the background, main
irl.drvlic.type1;IRL Driving License (green litter L on the left top corner, horizontal card, front)
irl.drvlic.type2;IRL Driving License (harp on the right, horizontal card, front)
irl.id.type1;Ireland ID Card (Background consists of clovers, front)
irl.passport.type1;Irish Passport (a persoanl photo on the background, main page)
irl.passport.type2;Irish Passport (the coat of arms in the top-right corner, main page)
irl.passport_card.type1;Irish Passport (biometric emblem in the top-right corner, main page)
irn.drvlic.type1;Iranian Driving Licence (the coat of arms in the top-right corner, personal photo on the left, front)
irn.drvlic.type2;Iranian Driving Licence (the coat of arms in the top-right corner, personal photo on the right, front)
irn.passport.type1;Iranian Passport (patterns on the background, main page)
irn.passport.type2;Iranian Passport (photo on the background, main page)
irq.passport.type1;Passport of Iraq (the coat of arms of Iraq on the middle in the top and barcode above the mrz zone, main page)
irq.passport.type2;Passport of Iraq (the coat of arms of Iraq on the middle in the top and barcode above the mrz zone, main page)
isl.drvlic.type1;Icelandic driving license (islands in the lower left and the coat of arms with the flag in the right, front side)
isl.drvlic.type2;Icelandic driving license (islands in the lower right, front side)
isl.drvlic.type3;Icelandic Driving License (Icelandic coats of arms on the background)
isl.passport.type1;Icelandic Passport (biometric symbol in the top-right corner and inscription Iceland on the background, main page)
isl.passport.type2;Icelandic Passport (biometric symbol in the top-right corner and inscription Iceland on the background, main page)
isl.rp.type1;Icelandic Residence Permit (Icelandic coat of arms on the right, front side)
isl.rp.type2;Icelandic Residence Permit (Icelandic coat of arms above the photo, front side)
isr.drvlic.type1;Driving License of Israel (the coat of arms of Israel in the top-right corner, front side)
isr.drvlic.type2;Driving License of Israel (the coat of arms of Israel in the top-right corner, blue sign in the top-left corner, front side)
isr.id.type1;ID card of Israel (chip on the left and a personal photo on the right, front side)
isr.id.type2;ID card of Israel (a personal photo in the top-left corner and the coat of arms of Israel on the background, front side)
isr.passport.type1;Passport of Israel (the coats of arms of Israel all over the background, main page)
isr.passport.type2;Passport of Israel (the coat of arms of Israel in the middle of the background, main page)
ita.drvlic.type1;Italian Driving License (new sample)
ita.drvlic.type2;Italian Driving License (old sample)
ita.health_insurance.type1;Italian Health Insurance (a coat of arms of Italia on the backgound, front side)
ita.health_insurance.type2;Italian Health Insurance (a coat of arms of Italia on the backgound and a chip on the left side, front side)
ita.id.type1;Italian ID Card (Italian emblen on the top, page 1)
ita.id.type2;Italian ID Card (Italian emblen in the top-left corner, front)
ita.id.type3;Italian ID Card (biometric symbol the top-left corner, front)
ita.passport.type1;Italian Passport (Italian emblem on the background, main page)
ita.rp.type1;Italian Residence Permit (biometric symbol on the top, front)
ita.rp.type2;Italian Residence Permit (chip on the left, back)
ita.rp.type3;Italian Residence Permit (black line on the top and right on the right, back)
ita.visa.type1;Italian Visa (ITA sign in the top-right corner, main page)
jam.drvlic.type1;Jamaica driving license (emblem in top left and photo in right)
jam.id.type1;Jamaica ID card (emblem in top left and flag and bird on background)
jam.passport.type1;Passport of Jamaica (inscription Jamaica on the background, main page)
jam.passport.type2;Passport of Jamaica (line of emblems under mrz and signature place on the left, main page)
jor.id.type1;Jordanian ID card (a building on the background and a personal photo on the left, front side)
jor.passport.type1;Jordanian Passport (a crown in the top-left corner of a personal photo, main page)
jpn.drvlic.type1;Japanese Driving License (a personal photo in the bottom- right corner, front side)
jpn.id.type1;Japanese ID Card (a rabbit in the top-right corner, front side)
jpn.insurance.type1;Japanese Health Insurance (a square in the bottom-right corner, front side)
jpn.passport.type1;Japanese Passport (Mount Fuji on the background and the Government Seal of Japan in the top-left and -right corner, main page)
jpn.rp.type1;Japanese residence permit (Photo on the right and a huge swan on the background, front side)
kaz.drvlic.type1;Kazakh Driving License (stamp with car on the middle, front)
kaz.drvlic.type2;Kazakh Driving License (chip on the right and Kazakh flag in the top-left corner, front)
kaz.id.type1;Kazakh ID Card (signature frame in the bottom, back)
kaz.id.type2;Kazakh ID Card (Kazakh flag in the down-right corner, front)
kaz.passport.type1;Kazakh Passport (stamp in the top-left corner on the photo, main page)
kaz.passport.type2;Kazakh Passport (Kazakh emblem on the bottom, main page)
kaz.passport.type3;Kazakh Passport (Kazakh emblem on the bottom, main page)
kaz.visa.type1;Kazakhstan Visa (contour of Kazakhstan in the top-left corner)
kaz.visa.type2;Kazakhstan Visa (circle of petals in the top-left corner)
kaz.vrc.type1;Kazakhstan Vehicle Registration Certificate (KZ sign on the top, back)
ken.id.type1;Kenyan ID Card (Kenyan coat of arms on the top and a fingerprint in the bottom-right corner, front side)
ken.passport.type1;Kenyan Passport (biometric symbol in the top-right corner and Kenyan coat of arms on the background, main page)
ken.passport.type2;Kenyan Passport (round stamp in the top-right corner and barcode above the mrz zone, main page)
kgz.drvlic.type1;Kyrgyz Driving License (KS sign in the top-left corner and the flag of Kyrgyzstan in the top-right corner, front side)
kgz.drvlic.type2;Kyrgyz Driving License (Red inscription Kyrgyz Republic in the national language at the top, front side)
kgz.id.type1;Kyrgyz ID card (the coat of arms of Kyrgyzstan in the middle on the top, front side)
kgz.id.type2;Kyrgyz ID card (the coat of arms of Kyrgyzstan in the top- left corner and biomentric symbol in the top-right corner, front side)
kgz.passport.type1;Kyrgyz passport (the coat of arms of Kyrgyzstan in the top- right corner near the small personal photo, main page)
kgz.vrc.type1;Kyrgyz Vehicle Registration Certificate (the flag of Kyrgyzstan in the top-right corner, front side, the coat of arms of Kyrgyzstan in the bottom-right, back side)
khm.passport.type1;Cambodian Passport (the coat of arms of Cambodia above the personal photo, main page)
kir.passport.type1;Passport of Republic of Kiribati (a personal photo on the background, main page)
kna.drvlic.type1;Driving License of Saint Kitts and Nevis (the national flag in the top-right corner and a countour of country on the background, front side)
kna.passport.type1;Passport of Saint Kitts and Nevis (biometric symbol in the top-right corner, main page)
kna.passport.type2;Passport of Saint Kitts and Nevis (barcode above the mrz zone, main page)
kor.drvlic.type1;Korean driver license card - a horizontal card, part of emblem on the background, front
kor.id.type1;Korean ID card - a horizontal card, part of emblem on the top left, globe below, front
kor.passport.type1;Korean passport - circle at the center, main
kor.passport.type2;Korean passport - emblems on the background, main
kwt.drvlic.type1;Driving License of Kuwait (the coat of arms of Kuwait in the top-right corner, front side)
kwt.id.type1;ID card of Kuwait (static fields in one language on both side, front side)
kwt.id.type2;ID card of Kuwait (static fields in one language on one side, front side)
kwt.passport.type1;Passport of Kuwait (the coat of arms of Kuwait in the middle on the background, main page)
kwt.passport.type2;Passport of Kuwait (small Kuwait's sign on the middle top)
lao.passport.type1;Passport of Lao People's Democratic Republic (biometric symbol in the top-left corner, main page)
lbn.passport.type1;Lebanese passport (the coat of arms of Lebanon in the top right corner, main page)
lbn.passport.type2;Lebanese passport (the coat of arms of Lebanon in the top right corner, main page)
lbn.passport.type3;Lebanese passport (travel document for palestinian refugees, main page)
lbn.passport.type4;Lebanese passport (service passport, photo on the left, signature on the bottom right)
lbr.passport.type1;Liberian Passport (a personal photo and Liberian coat of arms on the background, main page)
lbr.passport.type2;Liberian Passport (a personal photo and Liberian coat of arms on the background, main page)
lbr.passport.type3;Liberian Passport (a personal photo and Liberian coat of arms on the background, main page)
lby.passport.type1;Libyan Passport (emblem of Libya on the background, main page)
lca.id.type1;ID of Saint Lucia (barcode on the middle, main page)
lca.passport.type1;Passport of Saint Lucia (barcode on the middle, main page)
lca.passport.type2;Passport of Saint Lucia
lie.drvlic.type1;Driving license of Liechtenstein (emblem of Liechtenstein in the top-right corner, front)
lie.id.type1;ID Card of Liechtenstein (flag of Liechtenstein in the top- left corner, front)
lie.id.type2;ID Card of Liechtenstein (crown stamp on the top, front)
lie.passport.type1;Passport of Liechtenstein (emblem of Liechtenstein in the bottom on the photo, main page)
lka.drvlic.type1;Driving Licence of Sri Lanka (a personal photo on the left side, purple letters SL on the right side, front page)
lka.id.type1;National Identity Card of Sri Lanka (a personal photo on the left side, lotus on the top-right side, front page)
lka.passport.type1;Passport of Sri Lanka (a personal photo in the middle on the background, main page)
lso.passport.type1;Passport of Lestho (coat of arms of Lesotho in the right-top corner of photo and flowers on the background, main page)
lso.passport.type2;Passport of Lestho (coat of arms of Lesotho and biometric symbol in the right-top corner, main page)
ltu.drvlic.type1;Lithuanian Passport (a small personal photo in the bottom- right corner, main page)
ltu.drvlic.type2;Lithuanian Passport (cars in the bottom-right corner, main page)
ltu.id.type1;Lithuanian ID card (biometric symbol in the top-left corner and chip on the left, front side)
ltu.id.type2;Lithuanian ID card (star watermark on the background, front side)
ltu.passport.type1;Lithuanian Passport (biometric symbol above the personal photo, main page)
ltu.passport.type2;Lithuanian Passport (circle stamp in the top-right corner, main page)
ltu.passport.type3;Lithuanian Passport (the coat of arms of Lithuania in the middle on the background, main page)
ltu.rp.type1;Lithuanian Residence Permit (a bull above the personal photo and the coat of arms of Lithuania on the right, front side)
ltu.visa.type1;Lithuanian Visa (LTU sign in the top-right corner, main page)
lux.drvlic.type1;Luxembourg driver's license (flag in the upper left corner and text PERMIS DE CONDUIRE at the middle, front side)
lux.id.type1;ID Card of Luxembourg (biometric symbol in the top-left corner, front)
lux.id.type2;ID Card of Luxembourg (the contour of Luxembourg in the top- right corner, front, new type)
lux.id.type3;ID Card of Luxembourg (number field on the bottom, front)
lux.passport.type1;Passport of Luxembourg (line on the background, main page)
lux.passport.type2;Passport of Luxembourg (tiger on the background, main page)
lux.rp.type1;Residence Permit of Luxembourg (the contour of Luxembourg in the top-left corner, front)
lux.rp.type2;Residence Permit of Luxembourg (biometric symbol in the top- left corner, front)
lux.rp.type3;Residence Permit of Luxembourg (bull with stars on the middle, front)
lux.visa.type1;Visa of Luxembourg (LUX sign in the top-right corner, front)
lva.drvlic.type1;Latvian Passport (a small personal photo and LV letters in the bottom-right corner, main page)
lva.drvlic.type2;Latvian Passport (a personal photo in the middle on the background, main page)
lva.id.type1;Latvian ID card (the coat of arms of Latvia in the top-right corner, front side)
lva.id.type2;Latvian ID card (the coat of arms of Latvia in the top-right corner, front side)
lva.passport.type1;Latvian Passport (a tracery on the right, main page)
lva.passport.type2;Latvian Passport (a goose in the top-right corner, main page)
lva.passport.type3;Latvian Passport (diplomatic document, main page)
lva.passport.type4;Latvian Passport (page passport, main page)
lva.rp.type1;Latvian Residence Permit (a bull above the personal photo and the coat of arms of Latvia on the right, front side)
mar.id.type1;Morocco ID card (border in the head, emblem in the center, front)
mar.passport.type1;Passport of Morocco (stamp with the coat of arms of Morocco in the top-right corner, main page)
mco.id.type1;ID Card of Monaco (chip on the left, front)
mco.passport.type1;Passport of Monaco (emblem of Monaco in the right on the photo, main page)
mco.rp.type1;Residence Permit of Monaco (red line in the top-right corner, front)
mda.drvlic.type1;Driving License of Republic of Moldova (flag of Republic of Moldova in the top-left corner, front)
mda.drvlic.type2;Driving License of Republic of Moldova (emblem of Republic of Moldova in the top-right corner, front)
mda.drvlic.type3;Driving License of Republic of Moldova (the national coat of arms on the background, front)
mda.id.type1;ID Card of Republic of Moldova (emblem of Republic of Moldova on the background, front)
mda.id.type2;ID Card of Republic of Moldova (blue stamp with emblem of Republic of Moldova in the left and pink background, front)
mda.id.type3;ID Card of Republic of Moldova (biometric symbol in the top- right corner, front)
mda.passport.type1;Passport of Republic of Moldova (biometric symbol in the top-left corner, main page)
mda.passport.type2;Passport of Republic of Moldova (vertical field nationality on the right, main page)
mdg.passport.type1;Passport of Madagascar (the seal of Madagascar on the background, main page)
mdg.passport.type2;Passport of Madagascar (tree on the background, main page)
mdv.passport.type1;Passport of Maldives (people on the background, main page)
mdv.passport.type2;Passport of Maldives (watermark of seashells on the right, main page)
mex.drvlic.ag.type1;Mexican Driving License (Emblem on the upper left corner, front)
mex.drvlic.bc.type1;Mexican Driving License (Emblem on the upper left corner and outline of state Baja California at the background, front)
mex.drvlic.bc.type2;Mexican Driving License (Emblem of the Baja California state on the upper right corner and on the background, front)
mex.drvlic.bc.type3;Mexican Driving License (Emblem of the Baja California state on the upper right corner and on the background, front)
mex.drvlic.bc.type4;Mexican Driving License (Emblem of the Baja California state on the upper right corner, vertical type)
mex.drvlic.bs.type1;Mexican Driving License (Emblem of the Baja California state on the upper right corner and on the background, front)
mex.drvlic.ch.type1;Mexican Driving License (Name and outline of state Chihuahua at the top left, front)
mex.drvlic.ch.type2;Mexican Driving License (Coat of arms of Chihuahua on the right side, front)
mex.drvlic.cl.type1;Mexican Driving License (Name and outline of state Chihuahua at the top left, front)
mex.drvlic.cm.type1;Mexican Driving License (Name and outline of state Chihuahua at the top left, front)
mex.drvlic.cm.type2;Mexican Driving License (Name and outline of state Chihuahua at the top left, front)
mex.drvlic.co.type1;Mexican Driving License (Text A and Licencia de conducir on the upper left corner and text Gobierno de Coahuila and Un Estado Energia next, front)
mex.drvlic.co.type2;Mexican Driving License (Text Licencia Federal at the top, front)
mex.drvlic.co.type3;Mexican Driving License (Text A and Licencia de conducir on the upper left corner and text Gobierno de Coahuila and Un Estado Energia next, front)
mex.drvlic.df.type1;Mexican Driving License (Emblem with castle and lions and text Estados Unidos Mexicanos at the top, front)
mex.drvlic.df.type2;Mexican Driving License (Circle and text Estados Unidos Mexicanos etc next, front)
mex.drvlic.df.type3;Mexican Driving License (Circle and text Estados Unidos Mexicanos etc next, front)
mex.drvlic.df.type4;Mexican Driving License (Circle and text Estados Unidos Mexicanos etc next, front)
mex.drvlic.df.type5;Mexican Driving License (Circle and text Estados Unidos Mexicanos etc next, front)
mex.drvlic.df.type6;Mexican Driving License (Emblem with castle and lions and text Estados Unidos Mexicanos at the top, front)
mex.drvlic.df.type7;Mexican Driving License (Circle and text Estados Unidos Mexicanos etc next, front)
mex.drvlic.em.type1;Mexican Driving License (Emblem with castle and lions and text Estados Unidos Mexicanos at the top, front)
mex.drvlic.em.type2;Mexican Driving License (Emblem on the upper left corner and pyramid at the background, front)
mex.drvlic.em.type3;Mexican Driving License (Emblem of the Baja California state on the upper right corner and on the background, front)
mex.drvlic.gr.type1;Mexican Driving License (Probably issue year on a background, front)
mex.drvlic.gr.type2;Mexican Driving License (Flag with emblem on the upper left corner, front)
mex.drvlic.gr.type3;Mexican Driving License (Flag with emblem on the upper left corner, front)
mex.drvlic.gr.type4;Mexican Driving License (a vertical card)
mex.drvlic.gr.type5;Mexican Driving License (a coat of arms on the upper left corner, front)
mex.drvlic.gr.type6;Mexican Driving License (a pattern on the left side, front)
mex.drvlic.gt.type1;Mexican Driving License (Emblem with castle and lions and text Estados Unidos Mexicanos at the top, front)
mex.drvlic.hg.type1;Mexican Driving License (Emblem with flags on the upper left corner and text Licencia Para Conducir under it, front)
mex.drvlic.hg.type2;Mexican Driving License (Emblem with flags on the upper left corner and text Licencia Para Conducir under it, front)
mex.drvlic.ja.type1;Mexican Driving License (Jalisko on the upper left corner and emblem next, front)
mex.drvlic.ja.type2;Mexican Driving License (Jalisko on the upper left corner and emblem next, front)
mex.drvlic.mo.type1;Mexican Driving License (White wide strip with text at the top and rainbow strip at the down, front)
mex.drvlic.nl.type1;Mexican Driving License (Flag with emblen on the upper left corner and text Nuevo Leon next, front)
mex.drvlic.nl.type2;Mexican Driving License (Green drvlic and text Nuevo Leon Unido at the upper left corner, front)
mex.drvlic.pu.type1;Mexican Driving License (Puebla and quatrefoil on the upper left corner and text next and pattern under the text, front)
mex.drvlic.pu.type2;Mexican Driving License (Text Puebla Sigue and circle at the lefr upper corner and text Estados Unidos Mexicanos, front)
mex.drvlic.pu.type3;Mexican Driving License (Puebla and quatrefoil on the upper left corner and text next and pattern under the text, front)
mex.drvlic.pu.type4;Mexican Driving License (Text Puebla Sigue and circle at the lefr upper corner and text Estados Unidos Mexicanos, front)
mex.drvlic.qr.type1;Mexican Driving License (Quintana Roo emblem on the top right and a flower on the background , front)
mex.drvlic.qr.type2;Mexican Driving License (Text Estados Unidos Mexicanos telum between two emblem, front)
mex.drvlic.qt.type1;Mexican Driving License (at the top right is the eight- pointed symbol and at the bottom is a set of circles, front)
mex.drvlic.si.type1;Mexican Driving License (Sinaloa name and emblem on the top left, front)
mex.drvlic.si.type2;Mexican Driving License (Sinaloa emblem on the top left and photo on the right, front)
mex.drvlic.si.type3;Mexican Driving License (Sinaloa emblem on the top left and photo on the left, front)
mex.drvlic.si.type4;Mexican Driving License (Sinaloa emblem on the top left and photo on the left, front)
mex.drvlic.so.type1;Mexican Driving License (Sonora emblem on the top left and on the background, front)
mex.drvlic.so.type2;Mexican Driving License (Text Sonora at the middle and red left upper corner, front)
mex.drvlic.tb.type1;Mexican Driving License (Text Estados Unidos Mexicanos at the lefr upper corner and emblem next and symbol T, front)
mex.drvlic.ve.type1;Mexican Driving License (Emblem on the upper left corner and outline of state Baja California at the background, front)
mex.drvlic.ve.type2;Mexican Driving License (Emblem on the upper left corner, front)
mex.drvlic.ve.type3;Mexican Driving License (Emblem on the upper left corner, front)
mex.drvlic.yu.type1;Mexican Driving License (Yucatan emblem on the top right and a building at the background, front)
mex.drvlic.za.type1;Mexican Driving License (Statue of a man on a horse on the background, front)
mex.drvlic.za.type2;Mexican Driving License (a coat of arms in the top-left corner, front)
mex.drvlic.za.type3;Mexican Driving License (a countour of Mexica near the small personal photo in the bottom-right corner, front)
mex.id.type1;Mexican ID Card (Mexican emblem in the top-left corner and MEXICO-descriprion on the top, front)
mex.id.type2;Mexican ID Card (Mexican emblem in the top-left corner and a copy of personal photo on the right, front)
mex.id.type3;Mexican ID Card (Mexican emblem in the top-left corner, front)
mex.id.type4;Mexican ID Card (Text Mexico at the middle top and green and red stripes under it, front)
mex.passport.type1;Mexican Passport (barcode on the middle, main page)
mex.passport.type2;Mexican Passport (barcode on the middle, main page)
mex.passport.type3;Mexican Passport (round stamp in the top-right corner on the photo, main page)
mex.visa.type1;Mexican visa (Mexican emblem in the upper left corner and a watermark diagonally, front)
mkd.drvlic.type1;Macedonian Driving License (MKD sign in the top-left corner and the national emblem of Macedonia in the top-right corner, front side)
mkd.id.type1;Macedonian ID card (name of document in the top is written on two languages, front side)
mkd.id.type2;Macedonian ID card (ename of document in the top is written on three languages, front side)
mkd.passport.type1;Macedonian Passport (the tracery in the top-right corner, main page)
mkd.passport.type2;Macedonian Passport (biometric symbol above the photo and a small personal photo in the top-right corner, main page)
mli.passport.type1;Passport of the Republic of Mali (the coats of arms of the Republic of Mali on the background, main page)
mli.passport.type2;Passport of the Republic of Mali (barcode above the mrz zone, main page)
mli.passport.type3;Passport of the Republic of Mali (barcode above the mrz zone, main page)
mlt.drvlic.type1;Maltese Driving Lisence(the counter of country in the bottom-left corner)
mlt.drvlic.type2;Maltese Driving Lisence(the counter of country in the bottom-left corner)
mlt.id.type1;Maltese ID Card (a cross in the top-left corner, front side)
mlt.id.type2;Maltese ID Card (Maltese coat of arms in the top-right corner, front side)
mlt.passport.type1;Maltese Passport (a small copy of personal photo in the centre, main page)
mlt.passport.type2;Maltese Passport (a copy of personal photo on the right, main page)
mlt.rp.type1;Maltese Residence Permit (Maltese coat of arms in the top- right corner and MT sign in the top-left corner, front side)
mlt.rp.type2;Maltese Residence Permit (emblem of country in right area, front)
mlt.visa.type1;Maltese Visa (MLT sign in the top-right corner)
mmr.passport.type1;Passport of the Republic of the Union of Myanmar (a personal photo in the left on the background, main page)
mmr.passport.type2;Passport of the Republic of the Union of Myanmar (traveling document, a personal photo in the left on the background, main page)
mne.drvlic.type1;Driving License of Montenegro (the coat of arms of Montenegro in the top-left corner, front side)
mne.id.type1;ID card of Montenegro (the contour of Montenegro and MNE sign in the top-right corner, front side)
mne.passport.type1;Passport of Montenegro (the coat of arms of Montenegro and biometric symbol above the personal photo, main page)
mng.drvlic.type1;Mongolian Driving License (mongolian emblem on the background, front side)
mng.id.type1;Mongolian id card (the coat of arms in the upper left corner, the map in the lower right, the flag against the background, front side)
mng.passport.type1;Mongolian Passport (the symbol of Mongolia in the middle on the background, main page)
mng.passport.type2;Mongolian Passport (the symbol of Mongolia and copy of main photo in the middle on the background, main page)
moz.passport.type1;Passport of the Republic of Mozambique (barcode above the mrz zone, main page)
moz.passport.type2;Passport of the Republic of Mozambique (biometric symbol in the top-left corner, main page)
mrt.passport.type1;Mauritanian Passport (the contour of Mauritania in the middle on the top and the coat of arms of Mauritania in the middle on the background, main page)
mrz;
msr.passport.type1;Passport of Montserrat (watermark on the personal photo, main page)
mus.passport.type1;Passport of the Republic of Mauritius (the coat of arms of Mauritius in the middle on the background, main page)
mwi.passport.type1;Malawian Passport (Malawian coat of arms on the right and stamp with a bird in the top-left corner, main page)
mys.id.type1;Malaysian ID Card (Malaysian flag in the top-right corner and a chip on the left, main page)
